algorithm,constructionTime,searchTime,recall,avgDistance,constructionClocks,searchClocks
lsh-l11k3t11,0.0024736520000061546,0.015932434999996303,0.752697,0,0.0025420000000053733,0.01596399999999676
lsh-l11k3t22,0.0024736520000061546,0.02130984599995145,0.863618,0,0.0025420000000053733,0.021337000000016815
lsh-l11k3t33,0.0024736520000061546,0.019875307000006615,0.910783,0,0.0025420000000053733,0.01989600000001701
lsh-l11k4t11,0.003932077999934336,0.0031262520000154836,0.47131,0,0.003964999999993779,0.0031600000000935324
lsh-l11k4t22,0.003932077999934336,0.00451003499995295,0.594254,0,0.003964999999993779,0.004524000000060369
lsh-l11k4t33,0.003932077999934336,0.004869490999908521,0.666236,0,0.003964999999993779,0.004883999999947264
lsh-l11k3t11,43.37625548799997,0.01192984899989824,0.752697,0,43.37638599999991,0.011949999999842476
lsh-l11k3t22,43.37625548799997,0.01793550600018534,0.863618,0,43.37638599999991,0.01795500000002903
lsh-l11k3t33,43.37625548799997,0.0206418460002169,0.910783,0,43.37638599999991,0.0206630000000132
lsh-l11k4t11,97.12879532900001,0.003140146000077948,0.47131,0,97.1288199999999,0.0031520000000000437
lsh-l11k4t22,97.12879532900001,0.004943317999959618,0.594254,0,97.1288199999999,0.0049630000000888685
lsh-l11k4t33,97.12879532900001,0.00494992900030411,0.666236,0,97.1288199999999,0.0049659999999676074
lsh-l11k3t11,43.001501043999724,162.3074817949996,0.752697,0,43.00165900000002,162.30760800000007
lsh-l11k3t22,43.001501043999724,237.81828967299998,0.863618,0,43.00165900000002,237.81833499999993
lsh-l11k3t33,43.001501043999724,292.64511838199996,0.910783,0,43.00165900000002,292.6451860000002
lsh-l11k4t11,96.80170616100031,37.034677786999964,0.47131,0,96.80172900000025,37.03472399999964
lsh-l11k4t22,96.80170616100031,57.74301012600017,0.594254,0,96.80172900000025,57.74304800000027
lsh-l11k4t33,96.80170616100031,73.16628063799999,0.666236,0,96.80172900000025,73.16632499999969
lsh-l15k4t15,132.35443319600017,44.897428288000356,0.545379,0,132.35552400000006,44.897551999999905
lsh-l15k4t30,132.35443319600017,68.64059043299994,0.667921,0,132.35552400000006,68.64063100000021
lsh-l15k4t45,132.35443319600017,86.93474398299986,0.73616,0,132.35552400000006,86.93478600000026
lsh-l15k4t75,132.35443319600017,114.13957386999982,0.81246,0,132.35552400000006,114.13962100000026
