algorithm,constructionTime,searchTime,recall,avgDistance,constructionClocks,searchClocks
Annoy-trees-5,8.982965498999988,4.797598034000032,0.67838,1241.721611303587,8.983090000000004,4.797702000000015
Annoy-trees-15,10.87679562599999,7.219462340000007,0.86692,1215.5960190068952,10.876841000000013,7.219483999999966
Annoy-trees-30,13.314588160000028,9.834121665999987,0.932996,1209.9398430200176,13.314630000000022,9.834142000000043
Annoy-trees-60,18.17091997199998,13.355988042999968,0.967775,1207.600877423704,18.17096200000003,13.356008000000031
Annoy-trees-80,21.322231387000045,15.746612435000031,0.976586,1207.0850207127055,21.32227499999999,15.746634000000029
lsh-l11k2t11,13.271754456000053,139.51641106499994,0.905265,0,13.271883000000003,139.516521
lsh-l11k2t22,13.271754456000053,177.62432485199997,0.940478,0,13.271883000000003,177.624368
lsh-l11k2t33,13.271754456000053,200.03349291200004,0.955608,0,13.271883000000003,200.03353199999992
lsh-l11k3t11,38.793524296999976,39.692851042999905,0.655829,0,38.79355099999998,39.69289900000001
lsh-l11k3t22,38.793524296999976,56.65326545800008,0.733962,0,38.79355099999998,56.65331100000003
lsh-l11k3t33,38.793524296999976,63.60919121699999,0.772838,0,38.79355099999998,63.609226000000035
HNSW-M-5,49.211297577000096,1.4823740360000102,0.610533,1247.6583251953125,49.211426000000074,1.4824840000001132
HNSW-M-8,66.59672741100007,1.9892142880000847,0.734105,1224.9031982421875,66.59676800000011,1.9892580000000635
HNSW-M-15,104.05671898000014,2.8762663089999023,0.864281,1212.64794921875,104.05675900000006,2.8762950000000274
HNSW-M-30,204.00192999599994,4.138665774999936,0.951885,1208.0440673828125,204.0019709999999,4.138689999999997
HNSW-M-38,278.122727122,4.821403045000125,0.967906,1207.107421875,278.12277500000005,4.82142900000008
linear force,0.0002798769999117212,70.12854952099997,1,1205.9439469164695,0.0004650000000765431,70.12884500000018
vp-Tree-10k-mL2,1.2352924019999136,72.67650458099979,0.843976,1227.3712158203125,1.2355730000001586,72.67661799999996
vp-Tree-10k-mL10,1.2352924019999136,229.81858319000003,0.999998,1205.9437255859375,1.2355730000001586,229.81861600000002
vp-Tree-10k-mL20,1.2352924019999136,231.2991279590001,0.999998,1205.9437255859375,1.2355730000001586,231.29916299999968
vp-Tree-10k-mL25,1.2352924019999136,230.14799296299998,0.999998,1205.9437255859375,1.2355730000001586,230.14803100000017
vp-Tree-10k-mL30,1.2352924019999136,229.92604209399997,0.999998,1205.9437255859375,1.2355730000001586,229.92607299999963
Annoy-trees-1,8.244645270999627,4.128468010999768,0.500831,1284.4948019507733,8.244802000000163,4.128611000000092
Annoy-trees-1,8.223387345999981,4.253597133999847,0.500831,1284.4948019507733,8.22342800000024,4.253621999999723
Annoy-trees-1,8.697031846999835,4.16995689300029,0.500831,1284.4948019507733,8.697077000000263,4.169977999999901
Annoy-trees-1,8.22188088699977,4.088921732000017,0.500831,1284.4948019507733,8.221912999999859,4.088944000000083
Annoy-trees-5,9.069122453000091,4.438998080000147,0.644518,1247.5434331301556,9.069167000000107,4.4390229999999065
Annoy-trees-5,8.959939425999892,4.563392280000244,0.659575,1244.9754051318034,8.959992000000057,4.563415000000077
Annoy-trees-5,8.956949513000382,4.99290073200018,0.693459,1239.24000158856,8.956997999999658,4.9929229999997915
Annoy-trees-5,9.126094387999728,5.2421480960001645,0.711941,1236.242382706602,9.126138000000083,5.24216800000022
Annoy-trees-10,9.88834283899996,6.0665867779998734,0.798768,1223.1148343611126,9.88838799999985,6.0666080000000875
Annoy-trees-10,10.358883487000185,6.132148696000058,0.802235,1222.7219145585614,10.358918999999787,6.132172000000082
Annoy-trees-10,9.995201665999957,6.660279723999793,0.820144,1220.7828656257916,9.99524399999973,6.66030099999989
Annoy-trees-10,9.857201414999963,6.8423935509999865,0.833956,1219.3298816797771,9.857250000000022,6.842415999999957
Annoy-trees-30,13.240551885000059,8.849109193999993,0.917776,1211.045489463682,13.240594999999757,8.849130999999943
Annoy-trees-30,13.203535065000324,9.616220108000107,0.926134,1210.4324044448224,13.203576999999768,9.61624699999993
Annoy-trees-30,13.092860872000074,10.29828451900039,0.939281,1209.4893560358867,13.09289600000011,10.29830899999979
Annoy-trees-30,13.382734329000414,10.893746746000033,0.944254,1209.1535170513896,13.382775999999922,10.893770000000131
HNSW-M-2,22.84134594499983,0.6997489000000314,0.152986,1572.848388671875,22.84147899999971,0.6998929999999746
HNSW-M-4,34.530902876000255,1.2336716609997893,0.415615,1410.973876953125,34.53094400000009,1.2337029999998776
HNSW-M-6,40.998660896000274,1.5212275079998108,0.597161,1257.3685302734375,40.99869800000033,1.521277000000282
HNSW-M-8,45.827784230999896,1.8101562870001544,0.672508,1252.2781982421875,45.82782700000007,1.8101799999999457
HNSW-M-10,51.3226310619998,2.110863719000008,0.728392,1247.15966796875,51.32266500000014,2.11090699999977
HNSW-M-12,56.3747089110002,2.2536315550000836,0.788198,1223.919921875,56.37474999999995,2.253657000000203
HNSW-M-2,26.380724823000037,0.772343880000335,0.254375,1416.195556640625,26.380764999999883,0.7723700000001372
HNSW-M-4,45.705016159000024,1.2643592740000713,0.542301,1264.756103515625,45.705075999999735,1.26437900000019
HNSW-M-6,56.31162451499995,1.6383603660001427,0.660195,1237.2418212890625,56.31166399999984,1.638405000000148
HNSW-M-8,68.13785037700018,1.972064355999919,0.731838,1226.8245849609375,68.13789200000019,1.9720980000001873
HNSW-M-10,78.47979811199957,2.3536264320000555,0.784251,1219.123046875,78.47983199999999,2.3536519999997836
