algorithm,constructionTime,searchTime,recall,avgDistance,constructionClocks,searchClocks
Annoy-trees-5,8.982965498999988,4.797598034000032,0.67838,1241.721611303587,8.983090000000004,4.797702000000015
Annoy-trees-15,10.87679562599999,7.219462340000007,0.86692,1215.5960190068952,10.876841000000013,7.219483999999966
Annoy-trees-30,13.314588160000028,9.834121665999987,0.932996,1209.9398430200176,13.314630000000022,9.834142000000043
Annoy-trees-60,18.17091997199998,13.355988042999968,0.967775,1207.600877423704,18.17096200000003,13.356008000000031
Annoy-trees-80,21.322231387000045,15.746612435000031,0.976586,1207.0850207127055,21.32227499999999,15.746634000000029
lsh-l11k2t11,13.271754456000053,139.51641106499994,0.905265,0,13.271883000000003,139.516521
lsh-l11k2t22,13.271754456000053,177.62432485199997,0.940478,0,13.271883000000003,177.624368
lsh-l11k2t33,13.271754456000053,200.03349291200004,0.955608,0,13.271883000000003,200.03353199999992
lsh-l11k3t11,38.793524296999976,39.692851042999905,0.655829,0,38.79355099999998,39.69289900000001
lsh-l11k3t22,38.793524296999976,56.65326545800008,0.733962,0,38.79355099999998,56.65331100000003
lsh-l11k3t33,38.793524296999976,63.60919121699999,0.772838,0,38.79355099999998,63.609226000000035
HNSW-M-5,49.211297577000096,1.4823740360000102,0.610533,1247.6583251953125,49.211426000000074,1.4824840000001132
HNSW-M-8,66.59672741100007,1.9892142880000847,0.734105,1224.9031982421875,66.59676800000011,1.9892580000000635
HNSW-M-15,104.05671898000014,2.8762663089999023,0.864281,1212.64794921875,104.05675900000006,2.8762950000000274
HNSW-M-30,204.00192999599994,4.138665774999936,0.951885,1208.0440673828125,204.0019709999999,4.138689999999997
HNSW-M-38,278.122727122,4.821403045000125,0.967906,1207.107421875,278.12277500000005,4.82142900000008
linear force,0.0002798769999117212,70.12854952099997,1,1205.9439469164695,0.0004650000000765431,70.12884500000018
vp-Tree-10k-mL2,1.2352924019999136,72.67650458099979,0.843976,1227.3712158203125,1.2355730000001586,72.67661799999996
vp-Tree-10k-mL10,1.2352924019999136,229.81858319000003,0.999998,1205.9437255859375,1.2355730000001586,229.81861600000002
vp-Tree-10k-mL20,1.2352924019999136,231.2991279590001,0.999998,1205.9437255859375,1.2355730000001586,231.29916299999968
vp-Tree-10k-mL25,1.2352924019999136,230.14799296299998,0.999998,1205.9437255859375,1.2355730000001586,230.14803100000017
vp-Tree-10k-mL30,1.2352924019999136,229.92604209399997,0.999998,1205.9437255859375,1.2355730000001586,229.92607299999963
