algorithm,constructionTime,searchTime,recall,avgDistance,numTreesParam,searchKparam,constructionClocks,searchClocks,coef
Annoy-trees-20,72.93611022500045,10.983522194000216,0.796833,237.70021600855256,20,6000,72.93625599999996,10.983548000000155,3
Annoy-trees-20,72.93611022500045,12.182098318000044,0.820115,237.3887213864441,20,7000,72.93625599999996,12.18213199999991,3.5
Annoy-trees-20,72.93611022500045,13.607802985000035,0.839459,237.14842172659303,20,8000,72.93625599999996,13.607829000000038,4
Annoy-trees-20,72.93611022500045,14.96700580200013,0.855124,236.96121847259522,20,9000,72.93625599999996,14.967030999999679,4.5
Annoy-trees-20,72.93611022500045,16.506844391999948,0.868378,236.81088313876342,20,10000,72.93625599999996,16.506868999999824,5
Annoy-trees-20,72.93611022500045,17.89840854899967,0.879779,236.68482997587586,20,11000,72.93625599999996,17.89843699999983,5.5
Annoy-trees-20,72.93611022500045,19.466010557000118,0.889537,236.57960920898438,20,12000,72.93625599999996,19.466032999999697,6
Annoy-trees-20,72.93611022500045,20.81057322100014,0.898272,236.48893116992951,20,13000,72.93625599999996,20.81059899999991,6.5
Annoy-trees-20,72.93611022500045,22.118184334000034,0.905758,236.41265463345337,20,14000,72.93625599999996,22.118211999999858,7
Annoy-trees-15,59.509618576999856,2.3490503249995527,0.390587,248.34037617432784,15,750,59.509782999999516,2.349170000000413,0.5
Annoy-trees-15,59.509618576999856,3.7047968070000934,0.522061,243.33053702445602,15,1500,59.509782999999516,3.704823000000033,1
Annoy-trees-15,59.509618576999856,4.868539765000605,0.605823,241.14609906275558,15,2250,59.509782999999516,4.868574000000081,1.5
Annoy-trees-15,59.509618576999856,6.166316785000163,0.663676,239.91682318352508,15,3000,59.509782999999516,6.166344000000208,2
Annoy-trees-15,59.509618576999856,7.311422130999745,0.706912,239.11641512472534,15,3750,59.509782999999516,7.311445000000276,2.5
Annoy-trees-15,59.509618576999856,8.46475916899999,0.740027,238.55747093507387,15,4500,59.509782999999516,8.4647930000001,3
Annoy-trees-15,59.509618576999856,9.589760608000688,0.766779,238.14321188985443,15,5250,59.509782999999516,9.589785999999549,3.5
Annoy-trees-15,59.509618576999856,10.78760057999989,0.789063,237.82076339754485,15,6000,59.509782999999516,10.78763699999945,4
Annoy-trees-15,59.509618576999856,12.12463153600038,0.807741,237.5660366219635,15,6750,59.509782999999516,12.124659000000065,4.5
Annoy-trees-15,59.509618576999856,13.03012305700031,0.823361,237.36147815162659,15,7500,59.509782999999516,13.030149000000165,5
Annoy-trees-15,59.509618576999856,14.18891186899964,0.837011,237.1894838946228,15,8250,59.509782999999516,14.188936999999896,5.5
Annoy-trees-15,59.509618576999856,15.124098333999427,0.849211,237.0429222375412,15,9000,59.509782999999516,15.124123000000509,6
Annoy-trees-15,59.509618576999856,16.986331705999874,0.859807,236.91762302130127,15,9750,59.509782999999516,16.986355000000003,6.5



