	algorithm	avgDistance	constructionTime	recall	searchTime
0	brute force	298.91197814569523	0.0	1.0	0.09375
1	k-D	298.9119781456952	0.734375	1.0	0.3125
2	ball-tree	298.9119781456952	0.359375	1.0	0.265625
3	Annoy	301.28645677795413	0.78125	0.8488	0.046875
4	mrpt	299.845947265625	6.265625	0.9185	0.0625
5	HNSW	300.79559326171875	8.140625	0.8459	0.03125
6	vp-Tree	298.9119873046875	0.078125	1.0	0.09375
7	rkd-tree-flann	341.15643354158306	0.53125	0.3444	0.015625
