algorithm,constructionTime,searchTime,recall,avgDistance,numTreesParam,searchKparam,constructionClocks,searchClocks
Annoy-trees-1,23.541271795,0.6198442860000029,0.06835,298.5549039224049,1,50,23.541404999999997,0.6199499999999958
Annoy-trees-1,23.541271795,0.6387623789999992,0.069018,298.3844127163828,1,60,23.541404999999997,0.6387869999999936
Annoy-trees-1,23.541271795,0.6645655640000001,0.073665,296.7265704130129,1,70,23.541404999999997,0.6645889999999923
Annoy-trees-1,23.541271795,0.7075892830000043,0.08174,293.4447938098227,1,80,23.541404999999997,0.7076120000000117
Annoy-trees-1,23.541271795,0.766820426999999,0.09002,289.9842957089164,1,90,23.541404999999997,0.766846000000001
Annoy-trees-1,23.541271795,0.7829096749999991,0.096962,286.6623249215393,1,100,23.541404999999997,0.7829329999999999
Annoy-trees-1,23.541271795,0.8080479509999918,0.103185,283.7921640232925,1,110,23.541404999999997,0.8080709999999982
Annoy-trees-1,23.541271795,0.8375559360000011,0.109136,281.20351008610913,1,120,23.541404999999997,0.8375819999999976
Annoy-trees-1,23.541271795,0.9034567979999935,0.115368,278.79694748380854,1,130,23.541404999999997,0.9034819999999968
Annoy-trees-1,23.541271795,0.9167958670000047,0.117273,278.1349137981777,1,140,23.541404999999997,0.9168230000000079
Annoy-trees-1,23.541271795,0.9196404599999966,0.119701,277.36647661647226,1,150,23.541404999999997,0.9196659999999923
Annoy-trees-5,33.436929082999995,1.242322368999993,0.19726,263.7523662270508,5,250,33.43697399999999,1.2423440000000028
Annoy-trees-5,33.436929082999995,1.3223215080000017,0.216675,261.1493018524857,5,300,33.43697399999999,1.3223500000000001
Annoy-trees-5,33.436929082999995,1.433047762000001,0.235057,259.04250279772185,5,350,33.43697399999999,1.4330719999999957
Annoy-trees-5,33.436929082999995,1.7186239720000032,0.251802,257.363272575386,5,400,33.43697399999999,1.7186489999999992
Annoy-trees-5,33.436929082999995,1.6585604370000055,0.268071,255.9222438079033,5,450,33.43697399999999,1.6585869999999971
Annoy-trees-5,33.436929082999995,1.7103309520000067,0.283496,254.69513629417037,5,500,33.43697399999999,1.710357000000002
Annoy-trees-5,33.436929082999995,1.8206862589999986,0.297975,253.62225078133773,5,550,33.43697399999999,1.8207120000000003
Annoy-trees-5,33.436929082999995,1.9627085230000034,0.311766,252.6960783551445,5,600,33.43697399999999,1.962740000000025
Annoy-trees-5,33.436929082999995,2.0572219470000164,0.324519,251.86728267843628,5,650,33.43697399999999,2.057251000000008
Annoy-trees-5,33.436929082999995,2.108898898999996,0.33719,251.11293659236145,5,700,33.43697399999999,2.1089249999999993
Annoy-trees-5,33.436929082999995,2.224760567000004,0.349056,250.43803902433015,5,750,33.43697399999999,2.224784999999997
Annoy-trees-10,45.99882750500001,1.788543180000005,0.308373,253.08921292448045,10,500,45.998883000000006,1.788566000000003
Annoy-trees-10,45.99882750500001,2.1510032179999996,0.337414,251.1869161858406,10,600,45.998883000000006,2.1510279999999966
Annoy-trees-10,45.99882750500001,2.1546396719999734,0.362812,249.71256123454285,10,700,45.998883000000006,2.1546610000000044
Annoy-trees-10,45.99882750500001,2.380534078000011,0.385992,248.52904963830184,10,800,45.998883000000006,2.380559000000005
Annoy-trees-10,45.99882750500001,2.5280489099999954,0.406784,247.55278463615798,10,900,45.998883000000006,2.5280759999999987
Annoy-trees-10,45.99882750500001,2.9706804349999913,0.426956,246.6951300830803,10,1000,45.998883000000006,2.970704999999981
Annoy-trees-10,45.99882750500001,2.8984867499999893,0.445619,245.95871117431258,10,1100,45.998883000000006,2.89850899999999
Annoy-trees-10,45.99882750500001,3.0531048800000065,0.462713,245.3249886210518,10,1200,45.998883000000006,3.0531279999999867
Annoy-trees-10,45.99882750500001,3.413217359000015,0.478723,244.76533954667283,10,1300,45.998883000000006,3.41324800000001
Annoy-trees-10,45.99882750500001,3.4424509929999942,0.493718,244.26418888700866,10,1400,45.998883000000006,3.4424729999999784
Annoy-trees-10,45.99882750500001,3.707884973000006,0.507482,243.82104607164,10,1500,45.998883000000006,3.707909000000001
Annoy-trees-20,71.96544708900001,2.9045224999999846,0.454481,245.61166368639374,20,1000,71.965494,2.9045469999999796
Annoy-trees-20,71.96544708900001,3.200288936999982,0.489434,244.3635144594574,20,1200,71.965494,3.200312999999994
Annoy-trees-20,71.96544708900001,3.579629960000034,0.519963,243.38793300373078,20,1400,71.965494,3.579654000000005
Annoy-trees-20,71.96544708900001,4.155368036000027,0.5466,242.61713064941407,20,1600,71.965494,4.155391000000009
Annoy-trees-20,71.96544708900001,4.235775841999953,0.569713,241.9941080851593,20,1800,71.965494,4.235800999999981
Annoy-trees-20,71.96544708900001,4.597804639000003,0.591103,241.46072429832077,20,2000,71.965494,4.597829000000047
