	algorithm	avgDistance	constructionTime	recall	searchTime
0	HNSW	240.08163452148438	2725.53125	0.638629	2.203125
1	vp-Tree	235.62887573242188	27.34375	0.999881	730.953125
2	vp-Tree-maxLeaves5	245.51129150390625	29.640625	0.52738	85.625
